date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:01	624/624	---M--	200	added ('OK')	image/png	etag:%2263cd4fb9-270%22	https://cdn.schoolloop.com/release_1.0.61/pf4/img/icon_delete_sm.png	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/pf4/img/icon_delete_sm.png	(from https://alamosa.aps.edu/)
14:09:02	7008/7008	---M--	200	added ('OK')	image/png	etag:%2263cd4fb9-1b60%22	https://cdn.schoolloop.com/release_1.0.61/pf4/img/icon_locker_sprite.png	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/pf4/img/icon_locker_sprite.png	(from https://alamosa.aps.edu/)
14:09:02	991/991	---M--	200	added ('OK')	image/png	etag:%2263cd4fb9-3df%22	https://cdn.schoolloop.com/release_1.0.61/pf4/img/sl-cms2-folder__closed-item.png	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/pf4/img/sl-cms2-folder__closed-item.png	(from https://alamosa.aps.edu/)
14:09:02	985/985	---M--	200	added ('OK')	image/png	etag:%2263cd4fb9-3d9%22	https://cdn.schoolloop.com/release_1.0.61/pf4/img/sl-cms2-folder__open-item.png	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/pf4/img/sl-cms2-folder__open-item.png	(from https://alamosa.aps.edu/)
14:09:02	985/985	---M--	200	added ('OK')	image/png	etag:%2263cd4fb9-3d9%22	https://cdn.schoolloop.com/release_1.0.61/pf4/img/sl-cms2-folder__closed-item--white.png	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/pf4/img/sl-cms2-folder__closed-item--white.png	(from https://alamosa.aps.edu/)
14:09:02	985/985	---M--	200	added ('OK')	image/png	etag:%2263cd4fb9-3d9%22	https://cdn.schoolloop.com/release_1.0.61/pf4/img/sl-cms2-folder__open-item--white.png	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/pf4/img/sl-cms2-folder__open-item--white.png	(from https://alamosa.aps.edu/)
14:09:03	7003/7003	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Apr%202023%2020:09:02%20GMT	https://alamosa.aps.edu/img/icon_locker_sprite.png	C:/My%20Web%20Sites/Alamosa%20ES/alamosa.aps.edu/img/icon_locker_sprite.png	(from https://alamosa.aps.edu/)
14:09:03	820/820	---M--	200	added ('OK')	image/png	etag:%2263cd4fb9-334%22	https://cdn.schoolloop.com/release_1.0.61/pf4/img/error.png	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/pf4/img/error.png	(from https://alamosa.aps.edu/)
14:09:03	1370/1370	---M--	200	added ('OK')	image/png	etag:%2263cd4fb9-55a%22	https://cdn.schoolloop.com/release_1.0.61/pf4/img/image_placeholder_loading.png	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/pf4/img/image_placeholder_loading.png	(from https://alamosa.aps.edu/)
14:09:03	2348/2348	---MCZ	200	added ('OK')	text/css	etag:W/%2263cd4fba-92c%22	https://cdn.schoolloop.com/release_1.0.61/static/lib/jquery/extra/css/jquery.ui.timepicker.css	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/static/lib/jquery/extra/css/jquery.ui.timepicker.css	(from https://alamosa.aps.edu/)
14:09:07	92629/92629	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	C:/My%20Web%20Sites/Alamosa%20ES/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from https://alamosa.aps.edu/)
14:09:07	20185/20185	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263cd4fba-4ed9%22	https://cdn.schoolloop.com/release_1.0.61/static/lib/jquery/1.9/jquery-migrate-1.1.1.js	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/static/lib/jquery/1.9/jquery-migrate-1.1.1.js	(from https://alamosa.aps.edu/)
14:09:17	6271/6271	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263cd4fba-187f%22	https://cdn.schoolloop.com/release_1.0.61/static/lib/classy/classy_1.4/classy.js	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/static/lib/classy/classy_1.4/classy.js	(from https://alamosa.aps.edu/)
14:09:17	253668/253668	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js	C:/My%20Web%20Sites/Alamosa%20ES/ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js	(from https://alamosa.aps.edu/)
14:09:17	7064/7064	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263cd4fba-1b98%22	https://cdn.schoolloop.com/release_1.0.61/static/lib/vex/vex-2.2.1/js/vex.combined.min.js	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/static/lib/vex/vex-2.2.1/js/vex.combined.min.js	(from https://alamosa.aps.edu/)
14:09:17	34520/34520	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263cd4fba-86d8%22	https://cdn.schoolloop.com/release_1.0.61/static/lib/momentjs/momentjs_2.10.3.min.js	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/static/lib/momentjs/momentjs_2.10.3.min.js	(from https://alamosa.aps.edu/)
14:09:18	35530/35530	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263cd4fba-8aca%22	https://cdn.schoolloop.com/release_1.0.61/static/lib/jquery/extra/js/qtip.js	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/static/lib/jquery/extra/js/qtip.js	(from https://alamosa.aps.edu/)
14:09:18	10653/10653	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263cd4fba-299d%22	https://cdn.schoolloop.com/release_1.0.61/static/lib/colorbox/jquery.colorbox-min.js	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/static/lib/colorbox/jquery.colorbox-min.js	(from https://alamosa.aps.edu/)
14:09:18	39209/39209	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Apr%202023%2020:09:18%20GMT	https://cdn.schoolloop.com/portalcdn/version_release_1.0.61ssl/pf4/javascript/global.js	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/portalcdn/version_release_1.0.61ssl/pf4/javascript/global.js	(from https://alamosa.aps.edu/)
14:09:18	25422/25422	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263cd4fba-634e%22	https://cdn.schoolloop.com/release_1.0.61/static/lib/jquery/extra/js/jquery.form.3.5.js	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/static/lib/jquery/extra/js/jquery.form.3.5.js	(from https://alamosa.aps.edu/)
14:09:18	14722/14722	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263cd4fba-3982%22	https://cdn.schoolloop.com/release_1.0.61/static//lib/jquery/extra/js/jquery.timepicker.min.js	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/static/lib/jquery/extra/js/jquery.timepicker.min.js	(from https://alamosa.aps.edu/)
14:09:19	6739/6739	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263cd4fba-1a53%22	https://cdn.schoolloop.com/release_1.0.61/static//lib/jquery/extra/js/jquery.datepair.min.js	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/static/lib/jquery/extra/js/jquery.datepair.min.js	(from https://alamosa.aps.edu/)
14:09:19	7658/7658	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263cd4fba-1dea%22	https://cdn.schoolloop.com/release_1.0.61/static//lib/jquery/extra/js/jquery.ba-throttle-debounce.js	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/static/lib/jquery/extra/js/jquery.ba-throttle-debounce.js	(from https://alamosa.aps.edu/)
14:09:19	564841/564841	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263cd4fba-89e69%22	https://cdn.schoolloop.com/release_1.0.61/static/lib/ckeditor_4_5_7/ckeditor.js	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/static/lib/ckeditor_4_5_7/ckeditor.js	(from https://alamosa.aps.edu/)
14:09:19	4072/4072	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263cd4fba-fe8%22	https://cdn.schoolloop.com/release_1.0.61/static/lib/ckeditor_4_5_7/ckeditor_lms.js	C:/My%20Web%20Sites/Alamosa%20ES/cdn.schoolloop.com/release_1.0.61/static/lib/ckeditor_4_5_7/ckeditor_lms.js	(from https://alamosa.aps.edu/)
